"cle_unique";"colonne";"valeur"
"38";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"38";"nom_du_fichier_html";"13563-AVIS-SOC-GLASSDOOR-E13082_P1.html"
"38";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13563-AVIS-SOC-GLASSDOOR-E13082_P1.html"
"38";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13563-AVIS-SOC-GLASSDOOR-E13082_P1.html"
"39";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"39";"nom_du_fichier_html";"13563-AVIS-SOC-GLASSDOOR-E13082_P2.html"
"39";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13563-AVIS-SOC-GLASSDOOR-E13082_P2.html"
"39";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13563-AVIS-SOC-GLASSDOOR-E13082_P2.html"
"40";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"40";"nom_du_fichier_html";"13563-INFO-EMP-LINKEDIN-FR-1578578508.html"
"40";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13563-INFO-EMP-LINKEDIN-FR-1578578508.html"
"40";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13563-INFO-EMP-LINKEDIN-FR-1578578508.html"
"41";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"41";"nom_du_fichier_html";"13563-INFO-SOC-GLASSDOOR-E13082_P1.html"
"41";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13563-INFO-SOC-GLASSDOOR-E13082_P1.html"
"41";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13563-INFO-SOC-GLASSDOOR-E13082_P1.html"
"42";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"42";"nom_du_fichier_html";"13564-AVIS-SOC-GLASSDOOR-E4245_P1.html"
"42";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13564-AVIS-SOC-GLASSDOOR-E4245_P1.html"
"42";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13564-AVIS-SOC-GLASSDOOR-E4245_P1.html"
"43";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"43";"nom_du_fichier_html";"13564-AVIS-SOC-GLASSDOOR-E4245_P2.html"
"43";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13564-AVIS-SOC-GLASSDOOR-E4245_P2.html"
"43";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13564-AVIS-SOC-GLASSDOOR-E4245_P2.html"
"44";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"44";"nom_du_fichier_html";"13564-INFO-EMP-LINKEDIN-FR-1638814150.html"
"44";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13564-INFO-EMP-LINKEDIN-FR-1638814150.html"
"44";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13564-INFO-EMP-LINKEDIN-FR-1638814150.html"
"45";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"45";"nom_du_fichier_html";"13564-INFO-SOC-GLASSDOOR-E4245_P1.html"
"45";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13564-INFO-SOC-GLASSDOOR-E4245_P1.html"
"45";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13564-INFO-SOC-GLASSDOOR-E4245_P1.html"
"46";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"46";"nom_du_fichier_html";"13565-INFO-EMP-LINKEDIN-FR-1450797712.html"
"46";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13565-INFO-EMP-LINKEDIN-FR-1450797712.html"
"46";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13565-INFO-EMP-LINKEDIN-FR-1450797712.html"
"47";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"47";"nom_du_fichier_html";"13566-INFO-EMP-LINKEDIN-FR-1613358196.html"
"47";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13566-INFO-EMP-LINKEDIN-FR-1613358196.html"
"47";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13566-INFO-EMP-LINKEDIN-FR-1613358196.html"
"48";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"48";"nom_du_fichier_html";"13567-INFO-EMP-LINKEDIN-FR-1602713384.html"
"48";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13567-INFO-EMP-LINKEDIN-FR-1602713384.html"
"48";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13567-INFO-EMP-LINKEDIN-FR-1602713384.html"
"49";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"49";"nom_du_fichier_html";"13568-INFO-EMP-LINKEDIN-FR-1608609400.html"
"49";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13568-INFO-EMP-LINKEDIN-FR-1608609400.html"
"49";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13568-INFO-EMP-LINKEDIN-FR-1608609400.html"
"50";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"50";"nom_du_fichier_html";"13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"50";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"50";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"51";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"51";"nom_du_fichier_html";"13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html"
"51";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html"
"51";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html"
"52";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"52";"nom_du_fichier_html";"13570-INFO-EMP-LINKEDIN-FR-1589595331.html"
"52";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13570-INFO-EMP-LINKEDIN-FR-1589595331.html"
"52";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13570-INFO-EMP-LINKEDIN-FR-1589595331.html"
"53";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"53";"nom_du_fichier_html";"13570-INFO-SOC-GLASSDOOR-E1394648_P1.html"
"53";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13570-INFO-SOC-GLASSDOOR-E1394648_P1.html"
"53";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13570-INFO-SOC-GLASSDOOR-E1394648_P1.html"
"54";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"54";"nom_du_fichier_html";"13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html"
"54";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html"
"54";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html"
"55";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"55";"nom_du_fichier_html";"13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html"
"55";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html"
"55";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html"
"56";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"56";"nom_du_fichier_html";"13571-INFO-EMP-LINKEDIN-FR-1583080186.html"
"56";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13571-INFO-EMP-LINKEDIN-FR-1583080186.html"
"56";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13571-INFO-EMP-LINKEDIN-FR-1583080186.html"
"57";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"57";"nom_du_fichier_html";"13571-INFO-SOC-GLASSDOOR-E1061225_P1.html"
